parlimen,variable,value
P.069 Parit,businesses_forestry,2
P.070 Kampar,businesses_forestry,3
P.071 Gopeng,businesses_forestry,12
P.072 Tapah,businesses_forestry,2
P.073 Pasir Salak,businesses_forestry,5
P.074 Lumut,businesses_forestry,1
P.075 Bagan Datuk,businesses_forestry,3
P.076 Teluk Intan,businesses_forestry,5
P.077 Tanjong Malim,businesses_forestry,10
P.078 Cameron Highlands,businesses_forestry,5
P.079 Lipis,businesses_forestry,13
P.080 Raub,businesses_forestry,17
P.081 Jerantut,businesses_forestry,24
P.082 Indera Mahkota,businesses_forestry,50
P.083 Kuantan,businesses_forestry,78
P.084 Paya Besar,businesses_forestry,8
P.085 Pekan,businesses_forestry,4
P.086 Maran,businesses_forestry,0
P.087 Kuala Krau,businesses_forestry,9
P.088 Temerloh,businesses_forestry,101
P.089 Bentong,businesses_forestry,5
P.090 Bera,businesses_forestry,18
P.091 Rompin,businesses_forestry,11
P.092 Sabak Bernam,businesses_forestry,0
P.093 Sungai Besar,businesses_forestry,2
P.094 Hulu Selangor,businesses_forestry,3
P.095 Tanjong Karang,businesses_forestry,0
P.096 Kuala Selangor,businesses_forestry,1
P.097 Selayang,businesses_forestry,5
P.098 Gombak,businesses_forestry,9
P.099 Ampang,businesses_forestry,5
P.100 Pandan,businesses_forestry,7
P.101 Hulu Langat,businesses_forestry,7
P.102 Bangi,businesses_forestry,23
P.103 Puchong,businesses_forestry,11
P.104 Subang,businesses_forestry,24
P.105 Petaling Jaya,businesses_forestry,28
P.106 Damansara,businesses_forestry,35
P.107 Sungai Buloh,businesses_forestry,12
P.108 Shah Alam,businesses_forestry,11
P.109 Kapar,businesses_forestry,11
P.110 Klang,businesses_forestry,12
P.111 Kota Raja,businesses_forestry,28
P.112 Kuala Langat,businesses_forestry,7
P.113 Sepang,businesses_forestry,4
P.126 Jelebu,businesses_forestry,3
P.127 Jempol,businesses_forestry,20
P.128 Seremban,businesses_forestry,7
P.129 Kuala Pilah,businesses_forestry,6
P.130 Rasah,businesses_forestry,23
P.131 Rembau,businesses_forestry,9
P.132 Port Dickson,businesses_forestry,8
P.133 Tampin,businesses_forestry,11
P.134 Masjid Tanah,businesses_forestry,4
P.135 Alor Gajah,businesses_forestry,9
P.136 Tangga Batu,businesses_forestry,7
P.137 Hang Tuah Jaya,businesses_forestry,3
P.138 Kota Melaka,businesses_forestry,15
P.139 Jasin,businesses_forestry,3
P.140 Segamat,businesses_forestry,23
P.141 Sekijang,businesses_forestry,31
P.142 Labis,businesses_forestry,18
P.143 Pagoh,businesses_forestry,7
P.144 Ledang,businesses_forestry,11
P.145 Bakri,businesses_forestry,20
P.146 Muar,businesses_forestry,3
P.147 Parit Sulong,businesses_forestry,6
P.148 Ayer Hitam,businesses_forestry,8
P.149 Sri Gading,businesses_forestry,4
P.150 Batu Pahat,businesses_forestry,9
P.151 Simpang Renggam,businesses_forestry,3
P.152 Kluang,businesses_forestry,30
P.153 Sembrong,businesses_forestry,7
P.154 Mersing,businesses_forestry,4
P.155 Tenggara,businesses_forestry,16
P.156 Kota Tinggi,businesses_forestry,2
P.157 Pengerang,businesses_forestry,0
P.158 Tebrau,businesses_forestry,9
P.159 Pasir Gudang,businesses_forestry,9
P.160 Johor Bahru,businesses_forestry,11
P.161 Pulai,businesses_forestry,15
P.162 Iskandar Puteri,businesses_forestry,6
P.163 Kulai,businesses_forestry,16
P.164 Pontian,businesses_forestry,2
P.165 Tanjung Piai,businesses_forestry,2
P.167 Kudat,businesses_forestry,2
P.168 Kota Marudu,businesses_forestry,2
P.169 Kota Belud,businesses_forestry,1
P.170 Tuaran,businesses_forestry,0
P.171 Sepanggar,businesses_forestry,31
P.172 Kota Kinabalu,businesses_forestry,102
P.173 Putatan,businesses_forestry,4
P.174 Penampang,businesses_forestry,13
P.175 Papar,businesses_forestry,0
P.176 Kimanis,businesses_forestry,0
P.177 Beaufort,businesses_forestry,0
P.178 Sipitang,businesses_forestry,12
P.179 Ranau,businesses_forestry,1
P.180 Keningau,businesses_forestry,45
P.181 Tenom,businesses_forestry,0
P.182 Pensiangan,businesses_forestry,3
P.183 Beluran,businesses_forestry,1
P.184 Libaran,businesses_forestry,20
P.185 Batu Sapi,businesses_forestry,32
P.186 Sandakan,businesses_forestry,22
P.187 Kinabatangan,businesses_forestry,1
P.188 Lahad Datu,businesses_forestry,17
P.189 Semporna,businesses_forestry,0
P.190 Tawau,businesses_forestry,55
P.191 Kalabakan,businesses_forestry,16
P.192 Mas Gading,businesses_forestry,1
P.193 Santubong,businesses_forestry,6
P.194 Petra Jaya,businesses_forestry,14
P.195 Bandar Kuching,businesses_forestry,52
P.196 Stampin,businesses_forestry,21
P.197 Kota Samarahan,businesses_forestry,4
P.198 Puncak Borneo,businesses_forestry,2
P.199 Serian,businesses_forestry,3
P.200 Batang Sadong,businesses_forestry,0
P.201 Batang Lupar,businesses_forestry,1
P.202 Sri Aman,businesses_forestry,3
P.203 Lubok Antu,businesses_forestry,2
P.204 Betong,businesses_forestry,0
P.205 Saratok,businesses_forestry,0
P.206 Tanjong Manis,businesses_forestry,1
P.207 Igan,businesses_forestry,0
P.208 Sarikei,businesses_forestry,6
P.209 Julau,businesses_forestry,1
P.210 Kanowit,businesses_forestry,0
P.211 Lanang,businesses_forestry,163
P.212 Sibu,businesses_forestry,127
P.213 Mukah,businesses_forestry,3
P.214 Selangau,businesses_forestry,2
P.215 Kapit,businesses_forestry,6
P.216 Hulu Rajang,businesses_forestry,0
P.217 Bintulu,businesses_forestry,73
P.218 Sibuti,businesses_forestry,8
P.219 Miri,businesses_forestry,79
P.220 Baram,businesses_forestry,2
P.221 Limbang,businesses_forestry,9
P.222 Lawas,businesses_forestry,2
P.114 Kepong,businesses_forestry,7
P.115 Batu,businesses_forestry,17
P.116 Wangsa Maju,businesses_forestry,19
P.117 Segambut,businesses_forestry,21
P.118 Setiawangsa,businesses_forestry,5
P.119 Titiwangsa,businesses_forestry,13
P.120 Bukit Bintang,businesses_forestry,20
P.121 Lembah Pantai,businesses_forestry,14
P.122 Seputeh,businesses_forestry,16
P.123 Cheras,businesses_forestry,15
P.124 Bandar Tun Razak,businesses_forestry,6
P.125 Putrajaya,businesses_forestry,0
P.166 Labuan,businesses_forestry,0
P.001 Padang Besar,businesses_mining,3
P.002 Kangar,businesses_mining,6
P.003 Arau,businesses_mining,1
P.004 Langkawi,businesses_mining,5
P.005 Jerlun,businesses_mining,0
P.006 Kubang Pasu,businesses_mining,6
P.007 Padang Terap,businesses_mining,1
P.008 Pokok Sena,businesses_mining,9
P.009 Alor Setar,businesses_mining,38
P.010 Kuala Kedah,businesses_mining,5
P.011 Pendang,businesses_mining,3
P.012 Jerai,businesses_mining,2
P.013 Sik,businesses_mining,1
P.014 Merbok,businesses_mining,19
P.015 Sungai Petani,businesses_mining,20
P.016 Baling,businesses_mining,3
P.017 Padang Serai,businesses_mining,10
P.018 Kulim-Bandar Baharu,businesses_mining,6
P.019 Tumpat,businesses_mining,9
P.020 Pengkalan Chepa,businesses_mining,12
P.021 Kota Bharu,businesses_mining,147
P.022 Pasir Mas,businesses_mining,15
P.023 Rantau Panjang,businesses_mining,10
P.024 Kubang Kerian,businesses_mining,23
P.025 Bachok,businesses_mining,11
P.026 Ketereh,businesses_mining,2
P.027 Tanah Merah,businesses_mining,8
P.028 Pasir Puteh,businesses_mining,6
P.029 Machang,businesses_mining,11
P.030 Jeli,businesses_mining,3
P.031 Kuala Krai,businesses_mining,9
P.032 Gua Musang,businesses_mining,15
P.033 Besut,businesses_mining,16
P.034 Setiu,businesses_mining,3
P.035 Kuala Nerus,businesses_mining,6
P.036 Kuala Terengganu,businesses_mining,95
P.037 Marang,businesses_mining,6
P.038 Hulu Terengganu,businesses_mining,9
P.039 Dungun,businesses_mining,18
P.040 Kemaman,businesses_mining,78
P.041 Kepala Batas,businesses_mining,2
P.042 Tasek Gelugor,businesses_mining,4
P.043 Bagan,businesses_mining,15
P.044 Permatang Pauh,businesses_mining,22
P.045 Bukit Mertajam,businesses_mining,11
P.046 Batu Kawan,businesses_mining,19
P.047 Nibong Tebal,businesses_mining,8
P.048 Bukit Bendera,businesses_mining,18
P.049 Tanjong,businesses_mining,22
P.050 Jelutong,businesses_mining,18
P.051 Bukit Gelugor,businesses_mining,2
P.052 Bayan Baru,businesses_mining,12
P.053 Balik Pulau,businesses_mining,4
P.054 Gerik,businesses_mining,4
P.055 Lenggong,businesses_mining,0
P.056 Larut,businesses_mining,0
P.057 Parit Buntar,businesses_mining,0
P.058 Bagan Serai,businesses_mining,0
P.059 Bukit Gantang,businesses_mining,4
P.060 Taiping,businesses_mining,14
P.061 Padang Rengas,businesses_mining,4
P.062 Sungai Siput,businesses_mining,5
P.063 Tambun,businesses_mining,15
P.064 Ipoh Timor,businesses_mining,91
P.065 Ipoh Barat,businesses_mining,77
P.066 Batu Gajah,businesses_mining,21
P.067 Kuala Kangsar,businesses_mining,4
P.068 Beruas,businesses_mining,15
P.069 Parit,businesses_mining,0
P.070 Kampar,businesses_mining,20
P.071 Gopeng,businesses_mining,78
P.072 Tapah,businesses_mining,6
P.073 Pasir Salak,businesses_mining,1
P.074 Lumut,businesses_mining,8
P.075 Bagan Datuk,businesses_mining,0
P.076 Teluk Intan,businesses_mining,6
P.077 Tanjong Malim,businesses_mining,9
P.078 Cameron Highlands,businesses_mining,3
P.079 Lipis,businesses_mining,9
P.080 Raub,businesses_mining,16
P.081 Jerantut,businesses_mining,14
P.082 Indera Mahkota,businesses_mining,159
P.083 Kuantan,businesses_mining,289
P.084 Paya Besar,businesses_mining,6
P.085 Pekan,businesses_mining,21
P.086 Maran,businesses_mining,0
P.087 Kuala Krau,businesses_mining,1
P.088 Temerloh,businesses_mining,38
P.089 Bentong,businesses_mining,8
P.090 Bera,businesses_mining,11
P.091 Rompin,businesses_mining,5
P.092 Sabak Bernam,businesses_mining,2
P.093 Sungai Besar,businesses_mining,3
P.094 Hulu Selangor,businesses_mining,7
P.095 Tanjong Karang,businesses_mining,2
P.096 Kuala Selangor,businesses_mining,8
P.097 Selayang,businesses_mining,29
P.098 Gombak,businesses_mining,42
P.099 Ampang,businesses_mining,28
P.100 Pandan,businesses_mining,33
P.101 Hulu Langat,businesses_mining,34
P.102 Bangi,businesses_mining,82
P.103 Puchong,businesses_mining,49
P.104 Subang,businesses_mining,122
P.105 Petaling Jaya,businesses_mining,143
P.106 Damansara,businesses_mining,97
P.107 Sungai Buloh,businesses_mining,42
P.108 Shah Alam,businesses_mining,69
P.109 Kapar,businesses_mining,40
P.110 Klang,businesses_mining,53
P.111 Kota Raja,businesses_mining,37
P.112 Kuala Langat,businesses_mining,18
P.113 Sepang,businesses_mining,21
P.126 Jelebu,businesses_mining,7
P.127 Jempol,businesses_mining,3
P.128 Seremban,businesses_mining,24
P.129 Kuala Pilah,businesses_mining,7
P.130 Rasah,businesses_mining,37
P.131 Rembau,businesses_mining,7
P.132 Port Dickson,businesses_mining,14
P.133 Tampin,businesses_mining,6
P.134 Masjid Tanah,businesses_mining,1
P.135 Alor Gajah,businesses_mining,8
P.136 Tangga Batu,businesses_mining,6
P.137 Hang Tuah Jaya,businesses_mining,19
P.138 Kota Melaka,businesses_mining,32
P.139 Jasin,businesses_mining,3
P.140 Segamat,businesses_mining,7
P.141 Sekijang,businesses_mining,8
P.142 Labis,businesses_mining,2
P.143 Pagoh,businesses_mining,7
P.144 Ledang,businesses_mining,10
P.145 Bakri,businesses_mining,13
P.146 Muar,businesses_mining,1
P.147 Parit Sulong,businesses_mining,1
P.148 Ayer Hitam,businesses_mining,8
P.149 Sri Gading,businesses_mining,5
P.150 Batu Pahat,businesses_mining,12
P.151 Simpang Renggam,businesses_mining,4
P.152 Kluang,businesses_mining,17
P.153 Sembrong,businesses_mining,1
P.154 Mersing,businesses_mining,4
P.155 Tenggara,businesses_mining,19
P.156 Kota Tinggi,businesses_mining,6
P.157 Pengerang,businesses_mining,8
P.158 Tebrau,businesses_mining,42
P.159 Pasir Gudang,businesses_mining,31
P.160 Johor Bahru,businesses_mining,28
P.161 Pulai,businesses_mining,40
P.162 Iskandar Puteri,businesses_mining,27
P.163 Kulai,businesses_mining,22
P.164 Pontian,businesses_mining,2
P.165 Tanjung Piai,businesses_mining,1
P.167 Kudat,businesses_mining,3
P.168 Kota Marudu,businesses_mining,0
P.169 Kota Belud,businesses_mining,0
P.170 Tuaran,businesses_mining,2
P.171 Sepanggar,businesses_mining,43
P.172 Kota Kinabalu,businesses_mining,80
P.173 Putatan,businesses_mining,9
P.174 Penampang,businesses_mining,14
P.175 Papar,businesses_mining,3
P.176 Kimanis,businesses_mining,2
P.177 Beaufort,businesses_mining,1
P.178 Sipitang,businesses_mining,0
P.179 Ranau,businesses_mining,2
P.180 Keningau,businesses_mining,6
P.181 Tenom,businesses_mining,1
P.182 Pensiangan,businesses_mining,0
P.183 Beluran,businesses_mining,0
P.184 Libaran,businesses_mining,2
P.185 Batu Sapi,businesses_mining,4
P.186 Sandakan,businesses_mining,10
P.187 Kinabatangan,businesses_mining,0
P.188 Lahad Datu,businesses_mining,11
P.189 Semporna,businesses_mining,0
P.190 Tawau,businesses_mining,12
P.191 Kalabakan,businesses_mining,3
P.192 Mas Gading,businesses_mining,5
P.193 Santubong,businesses_mining,13
P.194 Petra Jaya,businesses_mining,49
P.195 Bandar Kuching,businesses_mining,121
P.196 Stampin,businesses_mining,43
P.197 Kota Samarahan,businesses_mining,6
P.198 Puncak Borneo,businesses_mining,1
P.199 Serian,businesses_mining,0
P.200 Batang Sadong,businesses_mining,0
P.201 Batang Lupar,businesses_mining,2
P.202 Sri Aman,businesses_mining,0
P.203 Lubok Antu,businesses_mining,1
P.204 Betong,businesses_mining,1
P.205 Saratok,businesses_mining,0
P.206 Tanjong Manis,businesses_mining,1
P.207 Igan,businesses_mining,0
P.208 Sarikei,businesses_mining,1
P.209 Julau,businesses_mining,0
P.210 Kanowit,businesses_mining,0
P.211 Lanang,businesses_mining,19
P.212 Sibu,businesses_mining,14
P.213 Mukah,businesses_mining,4
P.214 Selangau,businesses_mining,0
P.215 Kapit,businesses_mining,2
P.216 Hulu Rajang,businesses_mining,0
P.217 Bintulu,businesses_mining,27
P.218 Sibuti,businesses_mining,6
P.219 Miri,businesses_mining,71
P.220 Baram,businesses_mining,0
P.221 Limbang,businesses_mining,6
P.222 Lawas,businesses_mining,6
P.114 Kepong,businesses_mining,25
P.115 Batu,businesses_mining,84
P.116 Wangsa Maju,businesses_mining,58
P.117 Segambut,businesses_mining,166
P.118 Setiawangsa,businesses_mining,37
P.119 Titiwangsa,businesses_mining,99
P.120 Bukit Bintang,businesses_mining,237
P.121 Lembah Pantai,businesses_mining,71
P.122 Seputeh,businesses_mining,70
P.123 Cheras,businesses_mining,55
P.124 Bandar Tun Razak,businesses_mining,22
P.125 Putrajaya,businesses_mining,0
P.166 Labuan,businesses_mining,11
P.001 Padang Besar,businesses_manufacturing,102
P.002 Kangar,businesses_manufacturing,301
P.003 Arau,businesses_manufacturing,138
P.004 Langkawi,businesses_manufacturing,162
P.005 Jerlun,businesses_manufacturing,92
P.006 Kubang Pasu,businesses_manufacturing,331
P.007 Padang Terap,businesses_manufacturing,55
P.008 Pokok Sena,businesses_manufacturing,318
P.009 Alor Setar,businesses_manufacturing,500
