parlimen,variable,value
P.093 Sungai Besar,labour_participation_rate,73.9
P.094 Hulu Selangor,labour_participation_rate,74.8
P.095 Tanjong Karang,labour_participation_rate,75.4
P.096 Kuala Selangor,labour_participation_rate,76.4
P.097 Selayang,labour_participation_rate,76.5
P.098 Gombak,labour_participation_rate,76.4
P.099 Ampang,labour_participation_rate,74.9
P.100 Pandan,labour_participation_rate,77.7
P.101 Hulu Langat,labour_participation_rate,76.0
P.102 Bangi,labour_participation_rate,76.1
P.103 Puchong,labour_participation_rate,73.4
P.104 Subang,labour_participation_rate,75.2
P.105 Petaling Jaya,labour_participation_rate,75.0
P.106 Damansara,labour_participation_rate,76.0
P.107 Sungai Buloh,labour_participation_rate,74.1
P.108 Shah Alam,labour_participation_rate,74.9
P.109 Kapar,labour_participation_rate,75.7
P.110 Klang,labour_participation_rate,76.9
P.111 Kota Raja,labour_participation_rate,74.6
P.112 Kuala Langat,labour_participation_rate,76.3
P.113 Sepang,labour_participation_rate,74.7
P.126 Jelebu,labour_participation_rate,64.7
P.127 Jempol,labour_participation_rate,62.3
P.128 Seremban,labour_participation_rate,64.3
P.129 Kuala Pilah,labour_participation_rate,62.2
P.130 Rasah,labour_participation_rate,64.3
P.131 Rembau,labour_participation_rate,64.2
P.132 Port Dickson,labour_participation_rate,64.2
P.133 Tampin,labour_participation_rate,65.9
P.134 Masjid Tanah,labour_participation_rate,69.6
P.135 Alor Gajah,labour_participation_rate,69.3
P.136 Tangga Batu,labour_participation_rate,66.0
P.137 Hang Tuah Jaya,labour_participation_rate,65.4
P.138 Kota Melaka,labour_participation_rate,66.1
P.139 Jasin,labour_participation_rate,61.5
P.140 Segamat,labour_participation_rate,70.9
P.141 Sekijang,labour_participation_rate,70.3
P.142 Labis,labour_participation_rate,70.1
P.143 Pagoh,labour_participation_rate,67.0
P.144 Ledang,labour_participation_rate,64.5
P.145 Bakri,labour_participation_rate,68.0
P.146 Muar,labour_participation_rate,67.1
P.147 Parit Sulong,labour_participation_rate,69.6
P.148 Ayer Hitam,labour_participation_rate,69.8
P.149 Sri Gading,labour_participation_rate,70.1
P.150 Batu Pahat,labour_participation_rate,70.6
P.151 Simpang Renggam,labour_participation_rate,71.2
P.152 Kluang,labour_participation_rate,71.5
P.153 Sembrong,labour_participation_rate,71.0
P.154 Mersing,labour_participation_rate,60.4
P.155 Tenggara,labour_participation_rate,69.4
P.156 Kota Tinggi,labour_participation_rate,69.6
P.157 Pengerang,labour_participation_rate,70.1
P.158 Tebrau,labour_participation_rate,72.8
P.159 Pasir Gudang,labour_participation_rate,72.8
P.160 Johor Bahru,labour_participation_rate,73.6
P.161 Pulai,labour_participation_rate,72.8
P.162 Iskandar Puteri,labour_participation_rate,73.3
P.163 Kulai,labour_participation_rate,66.6
P.164 Pontian,labour_participation_rate,66.3
P.165 Tanjung Piai,labour_participation_rate,66.5
P.167 Kudat,labour_participation_rate,72.1
P.168 Kota Marudu,labour_participation_rate,72.7
P.169 Kota Belud,labour_participation_rate,62.8
P.170 Tuaran,labour_participation_rate,65.1
P.171 Sepanggar,labour_participation_rate,72.9
P.172 Kota Kinabalu,labour_participation_rate,73.1
P.173 Putatan,labour_participation_rate,73.0
P.174 Penampang,labour_participation_rate,67.2
P.175 Papar,labour_participation_rate,66.6
P.176 Kimanis,labour_participation_rate,66.8
P.177 Beaufort,labour_participation_rate,66.2
P.178 Sipitang,labour_participation_rate,66.0
P.179 Ranau,labour_participation_rate,75.5
P.180 Keningau,labour_participation_rate,61.9
P.181 Tenom,labour_participation_rate,61.5
P.182 Pensiangan,labour_participation_rate,68.8
P.183 Beluran,labour_participation_rate,72.9
P.184 Libaran,labour_participation_rate,74.4
P.185 Batu Sapi,labour_participation_rate,74.3
P.186 Sandakan,labour_participation_rate,74.4
P.187 Kinabatangan,labour_participation_rate,68.3
P.188 Lahad Datu,labour_participation_rate,71.4
P.189 Semporna,labour_participation_rate,62.5
P.190 Tawau,labour_participation_rate,75.1
P.191 Kalabakan,labour_participation_rate,68.1
P.192 Mas Gading,labour_participation_rate,66.7
P.193 Santubong,labour_participation_rate,64.7
P.194 Petra Jaya,labour_participation_rate,64.8
P.195 Bandar Kuching,labour_participation_rate,64.6
P.196 Stampin,labour_participation_rate,67.1
P.197 Kota Samarahan,labour_participation_rate,64.6
P.198 Puncak Borneo,labour_participation_rate,64.6
P.199 Serian,labour_participation_rate,64.5
P.200 Batang Sadong,labour_participation_rate,70.1
P.201 Batang Lupar,labour_participation_rate,69.9
P.202 Sri Aman,labour_participation_rate,70.1
P.203 Lubok Antu,labour_participation_rate,68.2
P.204 Betong,labour_participation_rate,61.3
P.205 Saratok,labour_participation_rate,67.6
P.206 Tanjong Manis,labour_participation_rate,65.9
P.207 Igan,labour_participation_rate,66.3
P.208 Sarikei,labour_participation_rate,66.3
P.209 Julau,labour_participation_rate,72.0
P.210 Kanowit,labour_participation_rate,68.8
P.211 Lanang,labour_participation_rate,65.4
P.212 Sibu,labour_participation_rate,68.3
P.213 Mukah,labour_participation_rate,67.2
P.214 Selangau,labour_participation_rate,67.1
P.215 Kapit,labour_participation_rate,67.1
P.216 Hulu Rajang,labour_participation_rate,68.8
P.217 Bintulu,labour_participation_rate,70.1
P.218 Sibuti,labour_participation_rate,64.0
P.219 Miri,labour_participation_rate,67.4
P.220 Baram,labour_participation_rate,65.2
P.221 Limbang,labour_participation_rate,68.2
P.222 Lawas,labour_participation_rate,74.3
P.114 Kepong,labour_participation_rate,72.5
P.115 Batu,labour_participation_rate,71.7
P.116 Wangsa Maju,labour_participation_rate,71.5
P.117 Segambut,labour_participation_rate,72.9
P.118 Setiawangsa,labour_participation_rate,72.0
P.119 Titiwangsa,labour_participation_rate,73.0
P.120 Bukit Bintang,labour_participation_rate,72.6
P.121 Lembah Pantai,labour_participation_rate,72.8
P.122 Seputeh,labour_participation_rate,71.3
P.123 Cheras,labour_participation_rate,72.6
P.124 Bandar Tun Razak,labour_participation_rate,72.0
P.125 Putrajaya,labour_participation_rate,72.5
P.166 Labuan,labour_participation_rate,64.6
P.001 Padang Besar,labour_unemployment_rate,4.1
P.002 Kangar,labour_unemployment_rate,4.0
P.003 Arau,labour_unemployment_rate,4.7
P.004 Langkawi,labour_unemployment_rate,6.8
P.005 Jerlun,labour_unemployment_rate,3.6
P.006 Kubang Pasu,labour_unemployment_rate,4.0
P.007 Padang Terap,labour_unemployment_rate,4.2
P.008 Pokok Sena,labour_unemployment_rate,4.6
P.009 Alor Setar,labour_unemployment_rate,5.5
P.010 Kuala Kedah,labour_unemployment_rate,5.2
P.011 Pendang,labour_unemployment_rate,4.9
P.012 Jerai,labour_unemployment_rate,2.9
P.013 Sik,labour_unemployment_rate,2.8
P.014 Merbok,labour_unemployment_rate,4.2
P.015 Sungai Petani,labour_unemployment_rate,3.6
P.016 Baling,labour_unemployment_rate,3.6
P.017 Padang Serai,labour_unemployment_rate,3.9
P.018 Kulim-Bandar Baharu,labour_unemployment_rate,3.5
P.019 Tumpat,labour_unemployment_rate,3.3
P.020 Pengkalan Chepa,labour_unemployment_rate,5.0
P.021 Kota Bharu,labour_unemployment_rate,5.7
P.022 Pasir Mas,labour_unemployment_rate,4.6
P.023 Rantau Panjang,labour_unemployment_rate,5.0
P.024 Kubang Kerian,labour_unemployment_rate,5.2
P.025 Bachok,labour_unemployment_rate,3.6
P.026 Ketereh,labour_unemployment_rate,5.2
P.027 Tanah Merah,labour_unemployment_rate,2.8
P.028 Pasir Puteh,labour_unemployment_rate,3.2
P.029 Machang,labour_unemployment_rate,5.3
P.030 Jeli,labour_unemployment_rate,3.1
P.031 Kuala Krai,labour_unemployment_rate,2.8
P.032 Gua Musang,labour_unemployment_rate,4.2
P.033 Besut,labour_unemployment_rate,4.1
P.034 Setiu,labour_unemployment_rate,4.2
P.035 Kuala Nerus,labour_unemployment_rate,5.0
P.036 Kuala Terengganu,labour_unemployment_rate,5.0
P.037 Marang,labour_unemployment_rate,3.2
P.038 Hulu Terengganu,labour_unemployment_rate,4.2
P.039 Dungun,labour_unemployment_rate,3.9
P.040 Kemaman,labour_unemployment_rate,3.7
P.041 Kepala Batas,labour_unemployment_rate,3.8
P.042 Tasek Gelugor,labour_unemployment_rate,3.7
P.043 Bagan,labour_unemployment_rate,3.6
P.044 Permatang Pauh,labour_unemployment_rate,4.7
P.045 Bukit Mertajam,labour_unemployment_rate,2.4
P.046 Batu Kawan,labour_unemployment_rate,3.7
P.047 Nibong Tebal,labour_unemployment_rate,3.3
P.048 Bukit Bendera,labour_unemployment_rate,3.7
P.049 Tanjong,labour_unemployment_rate,4.0
P.050 Jelutong,labour_unemployment_rate,4.5
P.051 Bukit Gelugor,labour_unemployment_rate,3.8
P.052 Bayan Baru,labour_unemployment_rate,2.9
P.053 Balik Pulau,labour_unemployment_rate,2.8
P.054 Gerik,labour_unemployment_rate,4.2
P.055 Lenggong,labour_unemployment_rate,3.8
P.056 Larut,labour_unemployment_rate,5.8
P.057 Parit Buntar,labour_unemployment_rate,5.6
P.058 Bagan Serai,labour_unemployment_rate,4.5
P.059 Bukit Gantang,labour_unemployment_rate,6.0
P.060 Taiping,labour_unemployment_rate,4.7
P.061 Padang Rengas,labour_unemployment_rate,5.1
P.062 Sungai Siput,labour_unemployment_rate,5.5
P.063 Tambun,labour_unemployment_rate,3.8
P.064 Ipoh Timor,labour_unemployment_rate,4.8
P.065 Ipoh Barat,labour_unemployment_rate,4.3
P.066 Batu Gajah,labour_unemployment_rate,5.4
P.067 Kuala Kangsar,labour_unemployment_rate,4.9
P.068 Beruas,labour_unemployment_rate,5.1
P.069 Parit,labour_unemployment_rate,6.3
P.070 Kampar,labour_unemployment_rate,4.4
P.071 Gopeng,labour_unemployment_rate,3.9
P.072 Tapah,labour_unemployment_rate,4.4
P.073 Pasir Salak,labour_unemployment_rate,5.6
P.074 Lumut,labour_unemployment_rate,5.6
P.075 Bagan Datuk,labour_unemployment_rate,5.3
P.076 Teluk Intan,labour_unemployment_rate,5.4
P.077 Tanjong Malim,labour_unemployment_rate,4.4
P.078 Cameron Highlands,labour_unemployment_rate,1.5
P.079 Lipis,labour_unemployment_rate,3.6
P.080 Raub,labour_unemployment_rate,3.8
P.081 Jerantut,labour_unemployment_rate,3.2
P.082 Indera Mahkota,labour_unemployment_rate,2.6
P.083 Kuantan,labour_unemployment_rate,2.9
P.084 Paya Besar,labour_unemployment_rate,3.2
P.085 Pekan,labour_unemployment_rate,2.7
P.086 Maran,labour_unemployment_rate,2.6
P.087 Kuala Krau,labour_unemployment_rate,4.2
P.088 Temerloh,labour_unemployment_rate,4.2
P.089 Bentong,labour_unemployment_rate,3.5
P.090 Bera,labour_unemployment_rate,3.3
P.091 Rompin,labour_unemployment_rate,3.4
P.092 Sabak Bernam,labour_unemployment_rate,3.5
P.093 Sungai Besar,labour_unemployment_rate,3.0
P.094 Hulu Selangor,labour_unemployment_rate,2.6
P.095 Tanjong Karang,labour_unemployment_rate,2.9
P.096 Kuala Selangor,labour_unemployment_rate,4.2
P.097 Selayang,labour_unemployment_rate,4.0
P.098 Gombak,labour_unemployment_rate,3.9
P.099 Ampang,labour_unemployment_rate,5.6
P.100 Pandan,labour_unemployment_rate,5.0
P.101 Hulu Langat,labour_unemployment_rate,5.5
P.102 Bangi,labour_unemployment_rate,4.5
P.103 Puchong,labour_unemployment_rate,4.9
P.104 Subang,labour_unemployment_rate,4.9
P.105 Petaling Jaya,labour_unemployment_rate,5.0
P.106 Damansara,labour_unemployment_rate,5.1
P.107 Sungai Buloh,labour_unemployment_rate,4.0
P.108 Shah Alam,labour_unemployment_rate,3.8
P.109 Kapar,labour_unemployment_rate,4.4
P.110 Klang,labour_unemployment_rate,4.6
P.111 Kota Raja,labour_unemployment_rate,3.6
P.112 Kuala Langat,labour_unemployment_rate,3.4
P.113 Sepang,labour_unemployment_rate,3.6
P.126 Jelebu,labour_unemployment_rate,4.0
P.127 Jempol,labour_unemployment_rate,3.9
P.128 Seremban,labour_unemployment_rate,3.6
P.129 Kuala Pilah,labour_unemployment_rate,4.1
P.130 Rasah,labour_unemployment_rate,3.8
P.131 Rembau,labour_unemployment_rate,3.6
P.132 Port Dickson,labour_unemployment_rate,4.0
P.133 Tampin,labour_unemployment_rate,4.1
P.134 Masjid Tanah,labour_unemployment_rate,2.4
P.135 Alor Gajah,labour_unemployment_rate,2.6
P.136 Tangga Batu,labour_unemployment_rate,1.8
P.137 Hang Tuah Jaya,labour_unemployment_rate,2.3
P.138 Kota Melaka,labour_unemployment_rate,2.4
P.139 Jasin,labour_unemployment_rate,1.7
P.140 Segamat,labour_unemployment_rate,3.8
P.141 Sekijang,labour_unemployment_rate,4.1
P.142 Labis,labour_unemployment_rate,4.3
P.143 Pagoh,labour_unemployment_rate,2.1
P.144 Ledang,labour_unemployment_rate,2.9
P.145 Bakri,labour_unemployment_rate,2.8
P.146 Muar,labour_unemployment_rate,2.4
P.147 Parit Sulong,labour_unemployment_rate,2.7
P.148 Ayer Hitam,labour_unemployment_rate,2.5
P.149 Sri Gading,labour_unemployment_rate,2.0
P.150 Batu Pahat,labour_unemployment_rate,1.9
P.151 Simpang Renggam,labour_unemployment_rate,4.8
P.152 Kluang,labour_unemployment_rate,4.4
P.153 Sembrong,labour_unemployment_rate,5.0
P.154 Mersing,labour_unemployment_rate,3.5
P.155 Tenggara,labour_unemployment_rate,3.2
P.156 Kota Tinggi,labour_unemployment_rate,3.5
P.157 Pengerang,labour_unemployment_rate,3.9
P.158 Tebrau,labour_unemployment_rate,3.6
P.159 Pasir Gudang,labour_unemployment_rate,4.3
P.160 Johor Bahru,labour_unemployment_rate,3.5
P.161 Pulai,labour_unemployment_rate,3.7
P.162 Iskandar Puteri,labour_unemployment_rate,3.8
P.163 Kulai,labour_unemployment_rate,3.7
P.164 Pontian,labour_unemployment_rate,4.3
P.165 Tanjung Piai,labour_unemployment_rate,3.9
P.167 Kudat,labour_unemployment_rate,9.1
P.168 Kota Marudu,labour_unemployment_rate,8.6
P.169 Kota Belud,labour_unemployment_rate,9.7
P.170 Tuaran,labour_unemployment_rate,5.9
P.171 Sepanggar,labour_unemployment_rate,6.3
P.172 Kota Kinabalu,labour_unemployment_rate,6.5
P.173 Putatan,labour_unemployment_rate,7.5
P.174 Penampang,labour_unemployment_rate,8.7
P.175 Papar,labour_unemployment_rate,7.2
P.176 Kimanis,labour_unemployment_rate,8.1
P.177 Beaufort,labour_unemployment_rate,6.3
P.178 Sipitang,labour_unemployment_rate,6.4
P.179 Ranau,labour_unemployment_rate,8.8
P.180 Keningau,labour_unemployment_rate,6.3
P.181 Tenom,labour_unemployment_rate,6.1
P.182 Pensiangan,labour_unemployment_rate,8.0
P.183 Beluran,labour_unemployment_rate,8.2
P.184 Libaran,labour_unemployment_rate,8.0
P.185 Batu Sapi,labour_unemployment_rate,7.7
P.186 Sandakan,labour_unemployment_rate,8.1
P.187 Kinabatangan,labour_unemployment_rate,9.7
P.188 Lahad Datu,labour_unemployment_rate,9.7
P.189 Semporna,labour_unemployment_rate,10.1
P.190 Tawau,labour_unemployment_rate,7.0
P.191 Kalabakan,labour_unemployment_rate,10.0
P.192 Mas Gading,labour_unemployment_rate,3.3
P.193 Santubong,labour_unemployment_rate,4.5
P.194 Petra Jaya,labour_unemployment_rate,4.5
P.195 Bandar Kuching,labour_unemployment_rate,4.7
P.196 Stampin,labour_unemployment_rate,4.8
P.197 Kota Samarahan,labour_unemployment_rate,4.7
P.198 Puncak Borneo,labour_unemployment_rate,5.0
P.199 Serian,labour_unemployment_rate,4.9
P.200 Batang Sadong,labour_unemployment_rate,4.4
P.201 Batang Lupar,labour_unemployment_rate,4.1
P.202 Sri Aman,labour_unemployment_rate,4.5
P.203 Lubok Antu,labour_unemployment_rate,4.0
P.204 Betong,labour_unemployment_rate,5.0
P.205 Saratok,labour_unemployment_rate,4.4
P.206 Tanjong Manis,labour_unemployment_rate,4.0
P.207 Igan,labour_unemployment_rate,5.9
P.208 Sarikei,labour_unemployment_rate,5.0
P.209 Julau,labour_unemployment_rate,4.6
P.210 Kanowit,labour_unemployment_rate,4.8
P.211 Lanang,labour_unemployment_rate,5.3
P.212 Sibu,labour_unemployment_rate,3.5
P.213 Mukah,labour_unemployment_rate,3.4
P.214 Selangau,labour_unemployment_rate,4.3
P.215 Kapit,labour_unemployment_rate,5.8
P.216 Hulu Rajang,labour_unemployment_rate,4.5
P.217 Bintulu,labour_unemployment_rate,3.5
P.218 Sibuti,labour_unemployment_rate,3.6
P.219 Miri,labour_unemployment_rate,3.2
P.220 Baram,labour_unemployment_rate,4.8
P.221 Limbang,labour_unemployment_rate,5.6
P.222 Lawas,labour_unemployment_rate,5.5
P.114 Kepong,labour_unemployment_rate,4.7
P.115 Batu,labour_unemployment_rate,4.8
P.116 Wangsa Maju,labour_unemployment_rate,3.4
P.117 Segambut,labour_unemployment_rate,4.5
P.118 Setiawangsa,labour_unemployment_rate,4.6
P.119 Titiwangsa,labour_unemployment_rate,3.6
P.120 Bukit Bintang,labour_unemployment_rate,3.0
P.121 Lembah Pantai,labour_unemployment_rate,3.3
P.122 Seputeh,labour_unemployment_rate,3.5
P.123 Cheras,labour_unemployment_rate,3.7
P.124 Bandar Tun Razak,labour_unemployment_rate,4.4
P.125 Putrajaya,labour_unemployment_rate,1.5
P.166 Labuan,labour_unemployment_rate,7.2
P.001 Padang Besar,poverty_incidence,5.7
P.002 Kangar,poverty_incidence,4.2
P.003 Arau,poverty_incidence,1.4
P.004 Langkawi,poverty_incidence,0.9
P.005 Jerlun,poverty_incidence,6.7
P.006 Kubang Pasu,poverty_incidence,4.3
P.007 Padang Terap,poverty_incidence,9.1
P.008 Pokok Sena,poverty_incidence,6.8
P.009 Alor Setar,poverty_incidence,4.9
P.010 Kuala Kedah,poverty_incidence,7.3
P.011 Pendang,poverty_incidence,8.1
P.012 Jerai,poverty_incidence,14.9
P.013 Sik,poverty_incidence,7.6
P.014 Merbok,poverty_incidence,11.1
P.015 Sungai Petani,poverty_incidence,9.2
P.016 Baling,poverty_incidence,17.9
P.017 Padang Serai,poverty_incidence,9.5
P.018 Kulim-Bandar Baharu,poverty_incidence,9.8
P.019 Tumpat,poverty_incidence,12.5
P.020 Pengkalan Chepa,poverty_incidence,8.6
P.021 Kota Bharu,poverty_incidence,7.4
P.022 Pasir Mas,poverty_incidence,10.0
P.023 Rantau Panjang,poverty_incidence,16.2
P.024 Kubang Kerian,poverty_incidence,10.1
P.025 Bachok,poverty_incidence,13.1
P.026 Ketereh,poverty_incidence,11.2
P.027 Tanah Merah,poverty_incidence,10.6
P.028 Pasir Puteh,poverty_incidence,12.7
P.029 Machang,poverty_incidence,7.1
P.030 Jeli,poverty_incidence,18.9
P.031 Kuala Krai,poverty_incidence,22.4
P.032 Gua Musang,poverty_incidence,18.7
P.033 Besut,poverty_incidence,9.5
P.034 Setiu,poverty_incidence,9.3
P.035 Kuala Nerus,poverty_incidence,3.8
P.036 Kuala Terengganu,poverty_incidence,3.3
P.037 Marang,poverty_incidence,7.5
P.038 Hulu Terengganu,poverty_incidence,7.8
P.039 Dungun,poverty_incidence,5.2
P.040 Kemaman,poverty_incidence,4.6
P.041 Kepala Batas,poverty_incidence,5.0
P.042 Tasek Gelugor,poverty_incidence,4.1
P.043 Bagan,poverty_incidence,3.4
P.044 Permatang Pauh,poverty_incidence,6.1
P.045 Bukit Mertajam,poverty_incidence,1.3
P.046 Batu Kawan,poverty_incidence,0.6
P.047 Nibong Tebal,poverty_incidence,2.5
P.048 Bukit Bendera,poverty_incidence,0.0
P.049 Tanjong,poverty_incidence,1.5
P.050 Jelutong,poverty_incidence,1.3
P.051 Bukit Gelugor,poverty_incidence,0.2
P.052 Bayan Baru,poverty_incidence,0.8
P.053 Balik Pulau,poverty_incidence,0.7
P.054 Gerik,poverty_incidence,8.9
P.055 Lenggong,poverty_incidence,17.5
P.056 Larut,poverty_incidence,7.4
P.057 Parit Buntar,poverty_incidence,8.0
P.058 Bagan Serai,poverty_incidence,4.3
P.059 Bukit Gantang,poverty_incidence,12.9
P.060 Taiping,poverty_incidence,4.9
P.061 Padang Rengas,poverty_incidence,5.9
P.062 Sungai Siput,poverty_incidence,16.7
P.063 Tambun,poverty_incidence,5.6
P.064 Ipoh Timor,poverty_incidence,1.9
P.065 Ipoh Barat,poverty_incidence,5.6
P.066 Batu Gajah,poverty_incidence,7.3
P.067 Kuala Kangsar,poverty_incidence,7.3
P.068 Beruas,poverty_incidence,8.9
P.069 Parit,poverty_incidence,6.2
P.070 Kampar,poverty_incidence,7.6
P.071 Gopeng,poverty_incidence,4.4
P.072 Tapah,poverty_incidence,9.0
P.073 Pasir Salak,poverty_incidence,18.9
P.074 Lumut,poverty_incidence,4.7
P.075 Bagan Datuk,poverty_incidence,6.3
P.076 Teluk Intan,poverty_incidence,10.3
P.077 Tanjong Malim,poverty_incidence,8.3
P.078 Cameron Highlands,poverty_incidence,1.7
P.079 Lipis,poverty_incidence,5.6
P.080 Raub,poverty_incidence,4.4
P.081 Jerantut,poverty_incidence,9.6
P.082 Indera Mahkota,poverty_incidence,2.0
P.083 Kuantan,poverty_incidence,1.1
P.084 Paya Besar,poverty_incidence,1.2
P.085 Pekan,poverty_incidence,6.5
P.086 Maran,poverty_incidence,8.6
P.087 Kuala Krau,poverty_incidence,4.9
P.088 Temerloh,poverty_incidence,6.1
P.089 Bentong,poverty_incidence,3.4
P.090 Bera,poverty_incidence,2.8
P.091 Rompin,poverty_incidence,6.7
P.092 Sabak Bernam,poverty_incidence,7.7
P.093 Sungai Besar,poverty_incidence,2.7
P.094 Hulu Selangor,poverty_incidence,1.5
P.095 Tanjong Karang,poverty_incidence,7.2
P.096 Kuala Selangor,poverty_incidence,3.1
P.097 Selayang,poverty_incidence,0.6
P.098 Gombak,poverty_incidence,0.3
P.099 Ampang,poverty_incidence,1.1
P.100 Pandan,poverty_incidence,0.3
P.101 Hulu Langat,poverty_incidence,0.9
P.102 Bangi,poverty_incidence,0.4
P.103 Puchong,poverty_incidence,2.1
P.104 Subang,poverty_incidence,0.3
P.105 Petaling Jaya,poverty_incidence,1.1
P.106 Damansara,poverty_incidence,0.6
P.107 Sungai Buloh,poverty_incidence,1.6
P.108 Shah Alam,poverty_incidence,0.3
P.109 Kapar,poverty_incidence,2.8
P.110 Klang,poverty_incidence,1.4
P.111 Kota Raja,poverty_incidence,1.7
P.112 Kuala Langat,poverty_incidence,2.6
P.113 Sepang,poverty_incidence,0.7
P.126 Jelebu,poverty_incidence,6.2
P.127 Jempol,poverty_incidence,5.8
P.128 Seremban,poverty_incidence,4.5
P.129 Kuala Pilah,poverty_incidence,8.3
P.130 Rasah,poverty_incidence,1.8
P.131 Rembau,poverty_incidence,4.2
P.132 Port Dickson,poverty_incidence,4.3
P.133 Tampin,poverty_incidence,4.8
P.134 Masjid Tanah,poverty_incidence,5.2
P.135 Alor Gajah,poverty_incidence,2.9
P.136 Tangga Batu,poverty_incidence,5.9
P.137 Hang Tuah Jaya,poverty_incidence,4.3
P.138 Kota Melaka,poverty_incidence,2.9
P.139 Jasin,poverty_incidence,2.7
P.140 Segamat,poverty_incidence,2.6
P.141 Sekijang,poverty_incidence,3.4
P.142 Labis,poverty_incidence,2.4
P.143 Pagoh,poverty_incidence,6.9
P.144 Ledang,poverty_incidence,3.2
P.145 Bakri,poverty_incidence,3.4
